pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,5,9.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,8,7.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,4,7.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,7,6.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,7,6.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,3,5.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,3,5.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,5,4.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,19,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,12,-1.0
