pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Patna_Pirates_none_early_zero||empty_unknown_Puneri_Paltan_vs_Patna_Pirates_none_early_zero,7,6.0
bonus_success_Puneri_Paltan_vs_Patna_Pirates_unknown_early_zero||empty_unknown_Puneri_Paltan_vs_Patna_Pirates_none_early_zero,5,4.0
regular_success_Puneri_Paltan_vs_Patna_Pirates_none_early_single||empty_unknown_Puneri_Paltan_vs_Patna_Pirates_none_early_zero,5,4.0
empty_unknown_Puneri_Paltan_vs_Patna_Pirates_none_early_zero,23,-1.0
doordie_success_Puneri_Paltan_vs_Patna_Pirates_none_early_single,14,-1.0
doordie_unknown_Puneri_Paltan_vs_Patna_Pirates_none_early_zero,13,-1.0
bonus_success_Puneri_Paltan_vs_Patna_Pirates_unknown_early_zero,12,-1.0
regular_success_Puneri_Paltan_vs_Patna_Pirates_none_early_single,11,-1.0
doordie_success_Puneri_Paltan_vs_Patna_Pirates_none_early_high,5,-1.0
bonus_success_Puneri_Paltan_vs_Patna_Pirates_null_early_zero,4,-1.0
