pattern,support,gain
doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single||doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single||doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single,4,7.0
doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single||doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single,7,6.0
doordie_unknown_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Patna_Pirates_vs_Gujarat_Fortunegiants_unknown_early_zero,5,4.0
doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_zero,5,4.0
doordie_unknown_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_zero,3,2.0
doordie_unknown_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single,3,2.0
doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_single,16,-1.0
doordie_unknown_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_zero,12,-1.0
bonus_success_Patna_Pirates_vs_Gujarat_Fortunegiants_unknown_early_zero,10,-1.0
doordie_success_Patna_Pirates_vs_Gujarat_Fortunegiants_none_early_high,3,-1.0
