pattern,support,gain
doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single||doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single||doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single,10,19.0
doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single||doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single,17,16.0
doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single,31,-1.0
doordie_unknown_U.P._Yoddha_vs_Puneri_Paltan_none_early_zero,16,-1.0
doordie_success_U.P._Yoddha_vs_Puneri_Paltan_none_early_single,12,-1.0
doordie_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero,9,-1.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_null_early_zero,9,-1.0
doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_high,7,-1.0
doordie_success_U.P._Yoddha_vs_Puneri_Paltan_none_early_high,7,-1.0
empty_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero,7,-1.0
