pattern,support,gain
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,6,11.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single||doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,10,9.0
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,4,7.0
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,7,6.0
doordie_unknown_Patna_Pirates_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Patna_Pirates_vs_Bengaluru_Bulls_none_early_zero,5,4.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,14,-1.0
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,13,-1.0
doordie_unknown_Patna_Pirates_vs_Bengaluru_Bulls_none_early_zero,11,-1.0
doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero,5,-1.0
doordie_success_Patna_Pirates_vs_Bengaluru_Bulls_none_early_single,4,-1.0
