pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,4,3.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single||doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,4,3.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,3,2.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,3,2.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,3,2.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,11,-1.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,9,-1.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,6,-1.0
empty_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,2,-1.0
bonus_success_U.P._Yoddha_vs_Patna_Pirates_raider_early_zero,2,-1.0
