pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,4,3.0
bonus_success_U.P._Yoddha_vs_U_Mumba_left_cover_early_zero||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,4,3.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,14,-1.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,8,-1.0
doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single,5,-1.0
bonus_success_U.P._Yoddha_vs_U_Mumba_left_cover_early_zero,5,-1.0
doordie_unknown_Haryana_Steelers_vs_U_Mumba_none_early_zero,4,-1.0
doordie_success_Patna_Pirates_vs_U_Mumba_none_early_high,3,-1.0
doordie_success_Patna_Pirates_vs_U_Mumba_none_early_single,3,-1.0
bonus_success_U.P._Yoddha_vs_U_Mumba_raider_early_zero,3,-1.0
