pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,9,8.0
doordie_success_Telugu_Titans_vs_Puneri_Paltan_none_early_single||doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,5,4.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single,4,3.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,18,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,13,-1.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single,11,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_zero,11,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single,6,-1.0
doordie_success_Telugu_Titans_vs_Puneri_Paltan_none_early_single,6,-1.0
