pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||bonus_success_Puneri_Paltan_vs_U_Mumba_left_corner_early_zero,1,0.0
bonus_success_Puneri_Paltan_vs_U_Mumba_left_corner_early_zero||doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,1,0.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,6,-1.0
bonus_success_Puneri_Paltan_vs_U_Mumba_left_corner_early_zero,1,-1.0
bonus_success_Puneri_Paltan_vs_U_Mumba_none_early_zero,1,-1.0
bonus_success_Puneri_Paltan_vs_U_Mumba_defender_early_zero,1,-1.0
doordie_success_Puneri_Paltan_vs_U_Mumba_none_early_single,1,-1.0
empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,1,-1.0
bonus_success_Puneri_Paltan_vs_U_Mumba_unknown_early_zero,1,-1.0
