pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,5,9.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,4,7.0
doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,7,6.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,5,4.0
bonus_success_Telugu_Titans_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,3,2.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,3,2.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,11,-1.0
doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,11,-1.0
bonus_success_Telugu_Titans_vs_Dabang_Delhi_K.C._unknown_early_zero,4,-1.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_high,3,-1.0
