pattern,support,gain
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,6,5.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,5,4.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,5,4.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero||bonus_success_Telugu_Titans_vs_U_Mumba_left_corner_early_zero,4,3.0
bonus_success_Telugu_Titans_vs_U_Mumba_left_corner_early_zero||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,3,2.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,16,-1.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,11,-1.0
bonus_success_Telugu_Titans_vs_U_Mumba_left_corner_early_zero,6,-1.0
empty_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,5,-1.0
bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero,4,-1.0
