pattern,support,gain
doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single||doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single||doordie_unknown_Telugu_Titans_vs_Haryana_Steelers_none_early_zero,3,5.0
doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single||doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single,4,3.0
doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single||doordie_unknown_Telugu_Titans_vs_Haryana_Steelers_none_early_zero,3,2.0
bonus_success_Telugu_Titans_vs_Haryana_Steelers_right_cover_early_zero||doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single,2,1.0
bonus_success_Telugu_Titans_vs_Haryana_Steelers_null_early_zero||doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single,2,1.0
doordie_success_Telugu_Titans_vs_Haryana_Steelers_none_early_single,9,-1.0
doordie_unknown_Telugu_Titans_vs_Haryana_Steelers_none_early_zero,6,-1.0
bonus_success_Telugu_Titans_vs_Haryana_Steelers_right_cover_early_zero,3,-1.0
bonus_success_Telugu_Titans_vs_Haryana_Steelers_null_early_zero,3,-1.0
bonus_success_Telugu_Titans_vs_Haryana_Steelers_right_corner_early_zero,2,-1.0
