pattern,support,gain
empty_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,3,2.0
empty_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,5,-1.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,4,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_zero,2,-1.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single,2,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_zero,1,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_defender_early_zero,1,-1.0
regular_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,1,-1.0
bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_null_early_zero,1,-1.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_high,1,-1.0
