pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,4,7.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,7,6.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,2,5.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,2,5.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,2,3.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,2,1.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,10,-1.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,2,-1.0
allout_success_Bengal_Warriors_vs_Telugu_Titans_none_early_high,1,-1.0
bonus_success_Bengal_Warriors_vs_Telugu_Titans_raider_early_zero,1,-1.0
