pattern,support,gain
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero||doordie_success_nan_vs_Patna_Pirates_none_early_single||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,2,3.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero||doordie_success_nan_vs_Patna_Pirates_none_early_single,3,2.0
doordie_success_nan_vs_Patna_Pirates_none_early_single||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,2,1.0
doordie_unknown_nan_vs_Patna_Pirates_none_early_zero||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,2,1.0
bonus_success_nan_vs_Patna_Pirates_right_corner_early_zero||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,1,0.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,5,-1.0
doordie_success_nan_vs_Patna_Pirates_none_early_single,3,-1.0
doordie_unknown_nan_vs_Patna_Pirates_none_early_zero,2,-1.0
bonus_success_nan_vs_Patna_Pirates_right_corner_early_zero,1,-1.0
bonus_success_nan_vs_Patna_Pirates_raider_early_zero,1,-1.0
