pattern,support,gain
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,9,8.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,4,7.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,4,7.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,6,5.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,6,5.0
bonus_success_U_Mumba_vs_Haryana_Steelers_right_corner_early_zero||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,3,2.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,3,2.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,18,-1.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,14,-1.0
bonus_success_U_Mumba_vs_Haryana_Steelers_right_corner_early_zero,4,-1.0
