pattern,support,gain
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,5,4.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,5,4.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,3,2.0
bonus_success_nan_vs_Tamil_Thalaivas_unknown_early_zero||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,2,1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,2,1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single,11,-1.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,11,-1.0
bonus_success_nan_vs_Tamil_Thalaivas_unknown_early_zero,4,-1.0
bonus_success_nan_vs_Tamil_Thalaivas_none_early_zero,2,-1.0
doordie_success_nan_vs_Tamil_Thalaivas_none_early_single,2,-1.0
