pattern,support,gain
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single||doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero||doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,5,9.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single||doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,7,6.0
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero||doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,7,6.0
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero||doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,5,4.0
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,14,-1.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,11,-1.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,11,-1.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,6,-1.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,4,-1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_null_early_zero,4,-1.0
