pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,11,21.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,17,16.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,5,14.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,13,12.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,6,11.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,5,9.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,9,8.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,5,4.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,32,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,29,-1.0
