pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,8,7.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,4,7.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,7,6.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,6,5.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,5,4.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||bonus_success_Bengaluru_Bulls_vs_U.P._Yoddha_null_early_zero,4,3.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,24,-1.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,21,-1.0
bonus_success_Bengaluru_Bulls_vs_U.P._Yoddha_null_early_zero,8,-1.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddha_none_early_zero,3,-1.0
