pattern,support,gain
empty_unknown_nan_vs_Telugu_Titans_none_early_zero||empty_unknown_nan_vs_Telugu_Titans_none_early_zero||bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,4,7.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero||bonus_success_nan_vs_Telugu_Titans_unknown_early_zero||empty_unknown_nan_vs_Telugu_Titans_none_early_zero,4,7.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero||bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,6,5.0
bonus_success_nan_vs_Telugu_Titans_unknown_early_zero||empty_unknown_nan_vs_Telugu_Titans_none_early_zero,6,5.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero||empty_unknown_nan_vs_Telugu_Titans_none_early_zero,5,4.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero||regular_success_nan_vs_Telugu_Titans_none_early_single,3,2.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero,18,-1.0
bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,12,-1.0
regular_success_nan_vs_Telugu_Titans_none_early_single,6,-1.0
regular_success_nan_vs_Telugu_Titans_none_early_high,4,-1.0
