pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero,5,9.0
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero,3,8.0
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero,7,6.0
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_success_U.P._Yoddha_vs_Bengal_Warriors_none_early_single,2,5.0
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_success_U.P._Yoddha_vs_Bengal_Warriors_none_early_single,2,3.0
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero||doordie_success_U.P._Yoddha_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_success_U.P._Yoddha_vs_Bengal_Warriors_none_early_single||doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero,1,0.0
doordie_unknown_U.P._Yoddha_vs_Bengal_Warriors_none_early_zero,9,-1.0
doordie_success_U.P._Yoddha_vs_Bengal_Warriors_none_early_single,3,-1.0
allout_success_U.P._Yoddha_vs_Bengal_Warriors_none_early_high,1,-1.0
