pattern,support,gain
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,2,3.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,2,1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_right_corner_early_zero||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,8,-1.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,4,-1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_right_corner_early_zero,3,-1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,2,-1.0
regular_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,2,-1.0
