pattern,support,gain
regular_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_null_early_zero,1,0.0
bonus_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_null_early_zero||doordie_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_single,1,0.0
doordie_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero,4,-1.0
doordie_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_single,3,-1.0
regular_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single,3,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_null_early_zero,1,-1.0
regular_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_single,1,-1.0
regular_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero,1,-1.0
