pattern,support,gain
doordie_unknown_Gujarat_Giants_vs_U.P._Yoddha_none_early_zero||doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single||doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single,3,5.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single||doordie_unknown_Gujarat_Giants_vs_U.P._Yoddha_none_early_zero,5,4.0
doordie_unknown_Gujarat_Giants_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Gujarat_Giants_vs_U.P._Yoddha_none_early_zero,5,4.0
doordie_unknown_Gujarat_Giants_vs_U.P._Yoddha_none_early_zero||doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single,5,4.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single||doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single,5,4.0
doordie_unknown_Gujarat_Giants_vs_U.P._Yoddha_none_early_zero,15,-1.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single,12,-1.0
bonus_success_Gujarat_Giants_vs_U.P._Yoddha_defender_early_zero,2,-1.0
bonus_success_Gujarat_Giants_vs_U.P._Yoddha_null_early_zero,2,-1.0
allout_success_Gujarat_Giants_vs_U.P._Yoddha_none_early_single,2,-1.0
