pattern,support,gain
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,6,17.0
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,8,15.0
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,10,9.0
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||regular_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,1,1.0
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||regular_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,1,1.0
regular_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,1,1.0
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||regular_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,1,0.0
regular_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,1,0.0
empty_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,12,-1.0
regular_unknown_Jaipur_Pink_Panthers_vs_UP_Yoddhas_none_early_zero,1,-1.0
