pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,20,19.0
doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,9,17.0
bonus_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,5,9.0
doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_single,7,6.0
doordie_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,7,6.0
bonus_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,6,5.0
doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._unknown_early_zero,5,4.0
doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,38,-1.0
doordie_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_single,12,-1.0
bonus_success_Puneri_Paltan_vs_Dabang_Delhi_K.C._unknown_early_zero,9,-1.0
