pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,5,9.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,9,8.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,4,7.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,5.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,5,4.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||bonus_success_Puneri_Paltan_vs_U.P._Yoddhas_unknown_early_zero,4,3.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,2.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,16,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,6,-1.0
bonus_success_Puneri_Paltan_vs_U.P._Yoddhas_unknown_early_zero,5,-1.0
