pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,5,9.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,3,8.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,8,7.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,2,3.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single,2,1.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_zero,11,-1.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Fortunegiants_none_early_single,2,-1.0
