pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_right_cover_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_right_cover_early_zero,2,1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_right_cover_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,6,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_right_cover_early_zero,2,-1.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,2,-1.0
doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,1,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_raider_early_zero,1,-1.0
bonus_success_U_Mumba_vs_Haryana_Steelers_none_early_zero,1,-1.0
