pattern,support,gain
regular_success_nan_vs_Haryana_Steelers_none_early_single||regular_success_nan_vs_Haryana_Steelers_none_early_single,58,57.0
regular_success_nan_vs_Haryana_Steelers_none_early_single||regular_success_nan_vs_Haryana_Steelers_none_early_single||regular_success_nan_vs_Haryana_Steelers_none_early_single,28,55.0
regular_success_nan_vs_Haryana_Steelers_none_early_single||bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,31,30.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero||regular_success_nan_vs_Haryana_Steelers_none_early_single,29,28.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero||empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,27,26.0
regular_success_nan_vs_Haryana_Steelers_none_early_single||empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,25,24.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero||regular_success_nan_vs_Haryana_Steelers_none_early_single,23,22.0
regular_success_nan_vs_Haryana_Steelers_none_early_single,130,-1.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,79,-1.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,74,-1.0
