pattern,support,gain
regular_success_nan_vs_Telugu_Titans_none_early_single||regular_success_nan_vs_Telugu_Titans_none_early_single,10,9.0
regular_success_nan_vs_Telugu_Titans_none_early_high||regular_success_nan_vs_Telugu_Titans_none_early_single||regular_success_nan_vs_Telugu_Titans_none_early_single,3,5.0
regular_success_nan_vs_Telugu_Titans_none_early_single||empty_unknown_nan_vs_Telugu_Titans_none_early_zero,4,3.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero||regular_success_nan_vs_Telugu_Titans_none_early_single,4,3.0
bonus_success_nan_vs_Telugu_Titans_unknown_early_zero||bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,3,2.0
regular_success_nan_vs_Telugu_Titans_none_early_high||regular_success_nan_vs_Telugu_Titans_none_early_single,3,2.0
regular_success_nan_vs_Telugu_Titans_none_early_single,21,-1.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero,8,-1.0
bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,6,-1.0
regular_success_nan_vs_Telugu_Titans_none_early_high,3,-1.0
