pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,9,8.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,4,7.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,6,5.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,4,3.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_all_rounder_early_zero,4,3.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,23,-1.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,13,-1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_all_rounder_early_zero,10,-1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_null_early_zero,4,-1.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,4,-1.0
