pattern,support,gain
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero,4,3.0
bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero||doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,3,2.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,3,2.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,3,2.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single||regular_success_Telugu_Titans_vs_U_Mumba_none_early_single,2,1.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single,14,-1.0
bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero,6,-1.0
doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero,5,-1.0
regular_success_Telugu_Titans_vs_U_Mumba_none_early_single,3,-1.0
doordie_success_Telugu_Titans_vs_U_Mumba_none_early_high,3,-1.0
