pattern,support,gain
doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_single||doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_single,4,3.0
bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero||regular_success_U_Mumba_vs_U.P._Yoddhas_none_early_single,3,2.0
doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_high||doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero||bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero,2,1.0
doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_single,7,-1.0
bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero,5,-1.0
bonus_success_Telugu_Titans_vs_U.P._Yoddhas_unknown_early_zero,4,-1.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddhas_none_early_zero,3,-1.0
regular_success_U_Mumba_vs_U.P._Yoddhas_none_early_single,3,-1.0
doordie_success_Telugu_Titans_vs_U.P._Yoddhas_none_early_high,2,-1.0
