pattern,support,gain
empty_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero||regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,4,3.0
empty_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero||empty_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero,3,2.0
empty_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero||bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero,2,1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero||regular_success_Gujarat_Giants_vs_U_Mumba_none_early_high,2,1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single||regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,2,1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single||bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero,9,-1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,7,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero,4,-1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_high,3,-1.0
