pattern,support,gain
bonus_success_Gujarat_Giants_vs_Bengaluru_Bulls_null_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,2,1.0
regular_success_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_single||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||regular_success_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_high,2,1.0
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,8,-1.0
bonus_success_Gujarat_Giants_vs_Bengaluru_Bulls_null_early_zero,4,-1.0
doordie_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,3,-1.0
doordie_success_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_single,3,-1.0
regular_success_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_single,3,-1.0
regular_success_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_high,2,-1.0
