pattern,support,gain
doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_success_nan_vs_Patna_Pirates_none_early_single,5,4.0
doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_success_nan_vs_Patna_Pirates_none_early_single,2,3.0
doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_unknown_nan_vs_Patna_Pirates_none_early_zero,2,3.0
doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_unknown_nan_vs_Patna_Pirates_none_early_zero,2,1.0
doordie_success_nan_vs_Patna_Pirates_none_early_single||doordie_success_nan_vs_Patna_Pirates_none_early_high,1,0.0
doordie_success_nan_vs_Patna_Pirates_none_early_single,9,-1.0
doordie_unknown_nan_vs_Patna_Pirates_none_early_zero,3,-1.0
bonus_success_nan_vs_Patna_Pirates_raider_early_zero,2,-1.0
doordie_success_nan_vs_Patna_Pirates_none_early_high,1,-1.0
bonus_success_nan_vs_Patna_Pirates_null_early_zero,1,-1.0
