pattern,support,gain
empty_unknown_nan_vs_Patna_Pirates_none_early_zero||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero||empty_unknown_nan_vs_Patna_Pirates_none_early_zero,5,9.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,9,8.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero||empty_unknown_nan_vs_Patna_Pirates_none_early_zero,7,6.0
regular_success_nan_vs_Patna_Pirates_none_early_single||regular_success_nan_vs_Patna_Pirates_none_early_single,7,6.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero||empty_unknown_nan_vs_Patna_Pirates_none_early_zero,7,6.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero||regular_success_nan_vs_Patna_Pirates_none_early_single,5,4.0
regular_success_nan_vs_Patna_Pirates_none_early_single||empty_unknown_nan_vs_Patna_Pirates_none_early_zero,5,4.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero,25,-1.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,15,-1.0
regular_success_nan_vs_Patna_Pirates_none_early_single,15,-1.0
