pattern,support,gain
doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_single||doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_single||doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_single,2,3.0
doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_single||doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_single,3,2.0
doordie_unknown_Bengal_Warriors_vs_Puneri_Paltan_none_early_zero||doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_high,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single,2,1.0
doordie_unknown_Bengal_Warriors_vs_Puneri_Paltan_none_early_zero,6,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,5,-1.0
doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_single,4,-1.0
doordie_success_Bengal_Warriors_vs_Puneri_Paltan_none_early_high,2,-1.0
bonus_success_Bengal_Warriors_vs_Puneri_Paltan_left_corner_early_zero,2,-1.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single,2,-1.0
