pattern,support,gain
bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,3,5.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,2,5.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,4,3.0
bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,4,3.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero,2,3.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,2,3.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero,3,2.0
bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero,6,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,6,-1.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,5,-1.0
