pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,5,9.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,5,9.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,3,8.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,8,7.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,8,7.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,3,5.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,4,3.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,3,2.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_single,14,-1.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddha_none_early_zero,13,-1.0
