pattern,support,gain
empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,36,107.0
empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,39,77.0
empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,42,41.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,7,20.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,8,15.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,9,8.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||regular_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,45,-1.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,13,-1.0
regular_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,3,-1.0
