pattern,support,gain
empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,4,11.0
empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,5,9.0
empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,6,5.0
doordie_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,2,1.0
doordie_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,1,0.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,1,0.0
empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,7,-1.0
doordie_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,4,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,1,-1.0
regular_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,1,-1.0
