pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero||doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,4,7.0
doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero||doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single||doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,4,7.0
doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,7,6.0
doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single||doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,6,5.0
doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero||doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,6,5.0
doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single||doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,4,3.0
doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_high||doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,4,3.0
doordie_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,19,-1.0
doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,15,-1.0
doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_high,7,-1.0
