pattern,support,gain
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single||doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single,8,7.0
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single||doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,7,6.0
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero||bonus_success_U.P._Yoddha_vs_Telugu_Titans_null_early_zero,5,4.0
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero||doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single,4,3.0
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,4,3.0
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,19,-1.0
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single,18,-1.0
bonus_success_U.P._Yoddha_vs_Telugu_Titans_null_early_zero,7,-1.0
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_high,4,-1.0
empty_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,4,-1.0
