pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,4,7.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,7,6.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,6,5.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,5,4.0
bonus_success_U.P._Yoddha_vs_U_Mumba_null_early_zero||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,4,3.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,23,-1.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,14,-1.0
bonus_success_U.P._Yoddha_vs_U_Mumba_null_early_zero,11,-1.0
regular_success_U.P._Yoddha_vs_U_Mumba_none_early_single,6,-1.0
empty_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,6,-1.0
