pattern,support,gain
empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero||empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero||empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,3,5.0
empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero||empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero||empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero||empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,2,5.0
empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero||empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,4,3.0
regular_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||regular_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,1,0.0
regular_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,1,0.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,1,0.0
empty_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,5,-1.0
regular_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,2,-1.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,2,-1.0
doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,1,-1.0
