pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,7,20.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,8,15.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,9,8.0
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,1,0.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,11,-1.0
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,3,-1.0
empty_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,1,-1.0
regular_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,1,-1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_right_cover_early_zero,1,-1.0
