pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,6,5.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,3,5.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,1,0.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_left_cover_early_zero,1,0.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_left_cover_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,1,0.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,9,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single,2,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_left_cover_early_zero,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,1,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_high,1,-1.0
