pattern,support,gain
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single||doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single||doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single,4,7.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single||doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single,7,6.0
doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single,6,5.0
doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single,3,5.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single,13,-1.0
doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single,10,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_zero,5,-1.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,5,-1.0
empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_zero,4,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriors_null_early_zero,3,-1.0
