pattern,support,gain
doordie_success_U_Mumba_vs_Gujarat_Giants_none_early_single||doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,4,3.0
empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,4,3.0
doordie_success_U_Mumba_vs_Gujarat_Giants_none_early_single||doordie_success_U_Mumba_vs_Gujarat_Giants_none_early_single,3,2.0
bonus_success_U_Mumba_vs_Gujarat_Giants_left_corner_early_zero||doordie_success_U_Mumba_vs_Gujarat_Giants_none_early_single,3,2.0
doordie_success_U_Mumba_vs_Gujarat_Giants_none_early_single,12,-1.0
doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,8,-1.0
empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,7,-1.0
bonus_success_U_Mumba_vs_Gujarat_Giants_left_corner_early_zero,4,-1.0
bonus_success_U_Mumba_vs_Gujarat_Giants_all_rounder_early_zero,2,-1.0
doordie_success_U_Mumba_vs_Gujarat_Giants_none_early_high,2,-1.0
