pattern,support,gain
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,11,21.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,7,20.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,18,17.0
regular_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,8,7.0
regular_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single||regular_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single,7,6.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||regular_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single,6,5.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,29,-1.0
regular_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single,19,-1.0
bonus_success_Dabang_Delhi_vs_Bengaluru_Bulls_null_early_zero,6,-1.0
bonus_success_Dabang_Delhi_vs_Bengaluru_Bulls_unknown_early_zero,6,-1.0
