pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single,4,3.0
bonus_success_Bengaluru_Bulls_vs_Bengal_Warriorz_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single,2,3.0
bonus_success_Bengaluru_Bulls_vs_Bengal_Warriorz_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single,2,1.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_zero,2,1.0
regular_success_Haryana_Steelers_vs_Bengal_Warriorz_none_early_single||regular_success_Haryana_Steelers_vs_Bengal_Warriorz_none_early_single,2,1.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_single,7,-1.0
regular_success_Haryana_Steelers_vs_Bengal_Warriorz_none_early_single,4,-1.0
bonus_success_Bengaluru_Bulls_vs_Bengal_Warriorz_unknown_early_zero,3,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriorz_none_early_zero,3,-1.0
empty_unknown_Haryana_Steelers_vs_Bengal_Warriorz_none_early_zero,3,-1.0
