pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,5,9.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero,9,8.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,6,5.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero,6,5.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,6,5.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero,18,-1.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,15,-1.0
empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero,7,-1.0
bonus_success_Bengaluru_Bulls_vs_U.P._Yoddhas_unknown_early_zero,5,-1.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddhas_unknown_early_zero,4,-1.0
