pattern,support,gain
doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero||doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single||doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero,2,3.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single||doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero||doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,2,3.0
doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero,2,3.0
doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero||doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single||doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero,3,2.0
doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero,3,2.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single||doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,2,1.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,7,-1.0
doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero,7,-1.0
bonus_success_Haryana_Steelers_vs_Telugu_Titans_left_cover_early_zero,1,-1.0
