pattern,support,gain
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single||doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,12,11.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single||doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single||doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,5,9.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,8,7.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single||doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,8,7.0
regular_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single||regular_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,6,5.0
empty_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||empty_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,5,4.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,28,-1.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,12,-1.0
empty_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,12,-1.0
regular_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,10,-1.0
