pattern,support,gain
empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero,24,23.0
empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero,10,19.0
bonus_success_Haryana_Steelers_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero,7,13.0
bonus_success_Haryana_Steelers_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero,8,7.0
regular_success_Haryana_Steelers_vs_UP_Yoddhas_none_early_single||empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero,8,7.0
empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero||regular_success_Haryana_Steelers_vs_UP_Yoddhas_none_early_single,8,7.0
empty_unknown_Haryana_Steelers_vs_UP_Yoddhas_none_early_zero,46,-1.0
regular_success_Haryana_Steelers_vs_UP_Yoddhas_none_early_single,12,-1.0
bonus_success_Haryana_Steelers_vs_UP_Yoddhas_unknown_early_zero,10,-1.0
doordie_success_Haryana_Steelers_vs_UP_Yoddhas_none_early_single,8,-1.0
