pattern,support,gain
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,2,1.0
doordie_unknown_Bengal_Warriors_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Haryana_Steelers_none_early_zero,1,0.0
doordie_unknown_Bengal_Warriors_vs_Haryana_Steelers_none_early_zero||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,1,0.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,1,0.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||bonus_success_U_Mumba_vs_Haryana_Steelers_raider_early_zero,1,0.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,5,-1.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,3,-1.0
doordie_unknown_Bengal_Warriors_vs_Haryana_Steelers_none_early_zero,2,-1.0
bonus_success_U_Mumba_vs_Haryana_Steelers_raider_early_zero,1,-1.0
