pattern,support,gain
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||regular_success_nan_vs_Tamil_Thalaivas_none_early_single||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,6,11.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,11,10.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,11,10.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single||regular_success_nan_vs_Tamil_Thalaivas_none_early_single,9,8.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,6,5.0
doordie_success_nan_vs_Tamil_Thalaivas_none_early_single||empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,6,5.0
empty_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,31,-1.0
regular_success_nan_vs_Tamil_Thalaivas_none_early_single,24,-1.0
bonus_success_nan_vs_Tamil_Thalaivas_unknown_early_zero,14,-1.0
doordie_success_nan_vs_Tamil_Thalaivas_none_early_single,7,-1.0
