pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,6,5.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,4,3.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||bonus_success_Puneri_Paltan_vs_Bengal_Warriors_unknown_early_zero,3,2.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,2.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,2.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_unknown_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,1.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,18,-1.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_unknown_early_zero,8,-1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,6,-1.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,6,-1.0
